,country_region,continent,population,date,month,day,confirmed,deaths,death / 100.000 hab,recovered,active,new cases,new deaths
3227,Ecuador,South America,17668824.0,2020-02-03,2,3,0,0,0.0,0,0,0,0
3288,Mexico,North America,129066160.0,2020-02-03,2,3,0,0,0.0,0,0,0,0
3331,Spain,Europe,46756648.0,2020-02-03,2,3,1,0,0.0,0,1,0,0
3399,Argentina,South America,45236884.0,2020-02-04,2,4,0,0,0.0,0,0,0,0
3440,Chile,South America,19132514.0,2020-02-04,2,4,0,0,0.0,0,0,0,0
3488,Ecuador,South America,17668824.0,2020-02-04,2,4,0,0,0.0,0,0,0,0
3549,Mexico,North America,129066160.0,2020-02-04,2,4,0,0,0.0,0,0,0,0
3592,Spain,Europe,46756648.0,2020-02-04,2,4,1,0,0.0,0,1,0,0
3660,Argentina,South America,45236884.0,2020-02-05,2,5,0,0,0.0,0,0,0,0
3701,Chile,South America,19132514.0,2020-02-05,2,5,0,0,0.0,0,0,0,0
3749,Ecuador,South America,17668824.0,2020-02-05,2,5,0,0,0.0,0,0,0,0
3810,Mexico,North America,129066160.0,2020-02-05,2,5,0,0,0.0,0,0,0,0
3853,Spain,Europe,46756648.0,2020-02-05,2,5,1,0,0.0,0,1,0,0
3921,Argentina,South America,45236884.0,2020-02-06,2,6,0,0,0.0,0,0,0,0
3962,Chile,South America,19132514.0,2020-02-06,2,6,0,0,0.0,0,0,0,0
4010,Ecuador,South America,17668824.0,2020-02-06,2,6,0,0,0.0,0,0,0,0
4071,Mexico,North America,129066160.0,2020-02-06,2,6,0,0,0.0,0,0,0,0
4114,Spain,Europe,46756648.0,2020-02-06,2,6,1,0,0.0,0,1,0,0
4182,Argentina,South America,45236884.0,2020-02-07,2,7,0,0,0.0,0,0,0,0
4223,Chile,South America,19132514.0,2020-02-07,2,7,0,0,0.0,0,0,0,0
4271,Ecuador,South America,17668824.0,2020-02-07,2,7,0,0,0.0,0,0,0,0
4332,Mexico,North America,129066160.0,2020-02-07,2,7,0,0,0.0,0,0,0,0
4375,Spain,Europe,46756648.0,2020-02-07,2,7,1,0,0.0,0,1,0,0
4443,Argentina,South America,45236884.0,2020-02-08,2,8,0,0,0.0,0,0,0,0
4484,Chile,South America,19132514.0,2020-02-08,2,8,0,0,0.0,0,0,0,0
4532,Ecuador,South America,17668824.0,2020-02-08,2,8,0,0,0.0,0,0,0,0
4593,Mexico,North America,129066160.0,2020-02-08,2,8,0,0,0.0,0,0,0,0
4636,Spain,Europe,46756648.0,2020-02-08,2,8,1,0,0.0,0,1,0,0
4704,Argentina,South America,45236884.0,2020-02-09,2,9,0,0,0.0,0,0,0,0
4745,Chile,South America,19132514.0,2020-02-09,2,9,0,0,0.0,0,0,0,0
4793,Ecuador,South America,17668824.0,2020-02-09,2,9,0,0,0.0,0,0,0,0
4854,Mexico,North America,129066160.0,2020-02-09,2,9,0,0,0.0,0,0,0,0
4897,Spain,Europe,46756648.0,2020-02-09,2,9,2,0,0.0,0,2,1,0
4965,Argentina,South America,45236884.0,2020-02-10,2,10,0,0,0.0,0,0,0,0
5006,Chile,South America,19132514.0,2020-02-10,2,10,0,0,0.0,0,0,0,0
5054,Ecuador,South America,17668824.0,2020-02-10,2,10,0,0,0.0,0,0,0,0
5115,Mexico,North America,129066160.0,2020-02-10,2,10,0,0,0.0,0,0,0,0
5158,Spain,Europe,46756648.0,2020-02-10,2,10,2,0,0.0,0,2,0,0
5226,Argentina,South America,45236884.0,2020-02-11,2,11,0,0,0.0,0,0,0,0
5267,Chile,South America,19132514.0,2020-02-11,2,11,0,0,0.0,0,0,0,0
5315,Ecuador,South America,17668824.0,2020-02-11,2,11,0,0,0.0,0,0,0,0
5376,Mexico,North America,129066160.0,2020-02-11,2,11,0,0,0.0,0,0,0,0
5419,Spain,Europe,46756648.0,2020-02-11,2,11,2,0,0.0,0,2,0,0
5487,Argentina,South America,45236884.0,2020-02-12,2,12,0,0,0.0,0,0,0,0
5528,Chile,South America,19132514.0,2020-02-12,2,12,0,0,0.0,0,0,0,0
5576,Ecuador,South America,17668824.0,2020-02-12,2,12,0,0,0.0,0,0,0,0
5637,Mexico,North America,129066160.0,2020-02-12,2,12,0,0,0.0,0,0,0,0
5680,Spain,Europe,46756648.0,2020-02-12,2,12,2,0,0.0,0,2,0,0
5748,Argentina,South America,45236884.0,2020-02-13,2,13,0,0,0.0,0,0,0,0
5789,Chile,South America,19132514.0,2020-02-13,2,13,0,0,0.0,0,0,0,0
5837,Ecuador,South America,17668824.0,2020-02-13,2,13,0,0,0.0,0,0,0,0
5898,Mexico,North America,129066160.0,2020-02-13,2,13,0,0,0.0,0,0,0,0
5941,Spain,Europe,46756648.0,2020-02-13,2,13,2,0,0.0,0,2,0,0
6009,Argentina,South America,45236884.0,2020-02-14,2,14,0,0,0.0,0,0,0,0
6050,Chile,South America,19132514.0,2020-02-14,2,14,0,0,0.0,0,0,0,0
6098,Ecuador,South America,17668824.0,2020-02-14,2,14,0,0,0.0,0,0,0,0
6159,Mexico,North America,129066160.0,2020-02-14,2,14,0,0,0.0,0,0,0,0
6202,Spain,Europe,46756648.0,2020-02-14,2,14,2,0,0.0,0,2,0,0
6270,Argentina,South America,45236884.0,2020-02-15,2,15,0,0,0.0,0,0,0,0
6311,Chile,South America,19132514.0,2020-02-15,2,15,0,0,0.0,0,0,0,0
6359,Ecuador,South America,17668824.0,2020-02-15,2,15,0,0,0.0,0,0,0,0
6420,Mexico,North America,129066160.0,2020-02-15,2,15,0,0,0.0,0,0,0,0
6463,Spain,Europe,46756648.0,2020-02-15,2,15,2,0,0.0,2,0,0,0
6531,Argentina,South America,45236884.0,2020-02-16,2,16,0,0,0.0,0,0,0,0
6572,Chile,South America,19132514.0,2020-02-16,2,16,0,0,0.0,0,0,0,0
6620,Ecuador,South America,17668824.0,2020-02-16,2,16,0,0,0.0,0,0,0,0
6681,Mexico,North America,129066160.0,2020-02-16,2,16,0,0,0.0,0,0,0,0
6724,Spain,Europe,46756648.0,2020-02-16,2,16,2,0,0.0,2,0,0,0
6792,Argentina,South America,45236884.0,2020-02-17,2,17,0,0,0.0,0,0,0,0
6833,Chile,South America,19132514.0,2020-02-17,2,17,0,0,0.0,0,0,0,0
6881,Ecuador,South America,17668824.0,2020-02-17,2,17,0,0,0.0,0,0,0,0
6942,Mexico,North America,129066160.0,2020-02-17,2,17,0,0,0.0,0,0,0,0
6985,Spain,Europe,46756648.0,2020-02-17,2,17,2,0,0.0,2,0,0,0
7053,Argentina,South America,45236884.0,2020-02-18,2,18,0,0,0.0,0,0,0,0
7094,Chile,South America,19132514.0,2020-02-18,2,18,0,0,0.0,0,0,0,0
7142,Ecuador,South America,17668824.0,2020-02-18,2,18,0,0,0.0,0,0,0,0
7203,Mexico,North America,129066160.0,2020-02-18,2,18,0,0,0.0,0,0,0,0
7246,Spain,Europe,46756648.0,2020-02-18,2,18,2,0,0.0,2,0,0,0
7314,Argentina,South America,45236884.0,2020-02-19,2,19,0,0,0.0,0,0,0,0
7355,Chile,South America,19132514.0,2020-02-19,2,19,0,0,0.0,0,0,0,0
7403,Ecuador,South America,17668824.0,2020-02-19,2,19,0,0,0.0,0,0,0,0
7464,Mexico,North America,129066160.0,2020-02-19,2,19,0,0,0.0,0,0,0,0
7507,Spain,Europe,46756648.0,2020-02-19,2,19,2,0,0.0,2,0,0,0
7575,Argentina,South America,45236884.0,2020-02-20,2,20,0,0,0.0,0,0,0,0
7616,Chile,South America,19132514.0,2020-02-20,2,20,0,0,0.0,0,0,0,0
7664,Ecuador,South America,17668824.0,2020-02-20,2,20,0,0,0.0,0,0,0,0
7725,Mexico,North America,129066160.0,2020-02-20,2,20,0,0,0.0,0,0,0,0
7768,Spain,Europe,46756648.0,2020-02-20,2,20,2,0,0.0,2,0,0,0
7836,Argentina,South America,45236884.0,2020-02-21,2,21,0,0,0.0,0,0,0,0
7877,Chile,South America,19132514.0,2020-02-21,2,21,0,0,0.0,0,0,0,0
7925,Ecuador,South America,17668824.0,2020-02-21,2,21,0,0,0.0,0,0,0,0
7986,Mexico,North America,129066160.0,2020-02-21,2,21,0,0,0.0,0,0,0,0
8029,Spain,Europe,46756648.0,2020-02-21,2,21,2,0,0.0,2,0,0,0
8097,Argentina,South America,45236884.0,2020-02-22,2,22,0,0,0.0,0,0,0,0
8138,Chile,South America,19132514.0,2020-02-22,2,22,0,0,0.0,0,0,0,0
8186,Ecuador,South America,17668824.0,2020-02-22,2,22,0,0,0.0,0,0,0,0
8247,Mexico,North America,129066160.0,2020-02-22,2,22,0,0,0.0,0,0,0,0
8290,Spain,Europe,46756648.0,2020-02-22,2,22,2,0,0.0,2,0,0,0
8358,Argentina,South America,45236884.0,2020-02-23,2,23,0,0,0.0,0,0,0,0
8399,Chile,South America,19132514.0,2020-02-23,2,23,2,0,0.0,0,2,2,0
8447,Ecuador,South America,17668824.0,2020-02-23,2,23,0,0,0.0,0,0,0,0
8508,Mexico,North America,129066160.0,2020-02-23,2,23,0,0,0.0,0,0,0,0
8551,Spain,Europe,46756648.0,2020-02-23,2,23,2,0,0.0,2,0,0,0
8619,Argentina,South America,45236884.0,2020-02-24,2,24,0,0,0.0,0,0,0,0
8660,Chile,South America,19132514.0,2020-02-24,2,24,2,0,0.0,0,2,0,0
8708,Ecuador,South America,17668824.0,2020-02-24,2,24,0,0,0.0,0,0,0,0
8769,Mexico,North America,129066160.0,2020-02-24,2,24,0,0,0.0,0,0,0,0
8812,Spain,Europe,46756648.0,2020-02-24,2,24,2,0,0.0,2,0,0,0
8880,Argentina,South America,45236884.0,2020-02-25,2,25,0,0,0.0,0,0,0,0
8921,Chile,South America,19132514.0,2020-02-25,2,25,2,0,0.0,0,2,0,0
8969,Ecuador,South America,17668824.0,2020-02-25,2,25,0,0,0.0,0,0,0,0
9030,Mexico,North America,129066160.0,2020-02-25,2,25,0,0,0.0,0,0,0,0
9073,Spain,Europe,46756648.0,2020-02-25,2,25,6,0,0.0,2,4,4,0
9141,Argentina,South America,45236884.0,2020-02-26,2,26,0,0,0.0,0,0,0,0
9182,Chile,South America,19132514.0,2020-02-26,2,26,2,0,0.0,0,2,0,0
9230,Ecuador,South America,17668824.0,2020-02-26,2,26,0,0,0.0,0,0,0,0
9291,Mexico,North America,129066160.0,2020-02-26,2,26,0,0,0.0,0,0,0,0
9334,Spain,Europe,46756648.0,2020-02-26,2,26,13,0,0.0,2,11,7,0
9402,Argentina,South America,45236884.0,2020-02-27,2,27,0,0,0.0,0,0,0,0
9443,Chile,South America,19132514.0,2020-02-27,2,27,2,0,0.0,0,2,0,0
9491,Ecuador,South America,17668824.0,2020-02-27,2,27,0,0,0.0,0,0,0,0
9552,Mexico,North America,129066160.0,2020-02-27,2,27,0,0,0.0,0,0,0,0
9595,Spain,Europe,46756648.0,2020-02-27,2,27,15,0,0.0,2,13,2,0
9663,Argentina,South America,45236884.0,2020-02-28,2,28,0,0,0.0,0,0,0,0
9704,Chile,South America,19132514.0,2020-02-28,2,28,2,0,0.0,0,2,0,0
9752,Ecuador,South America,17668824.0,2020-02-28,2,28,0,0,0.0,0,0,0,0
9813,Mexico,North America,129066160.0,2020-02-28,2,28,1,0,0.0,0,1,1,0
9856,Spain,Europe,46756648.0,2020-02-28,2,28,32,0,0.0,2,30,17,0
9924,Argentina,South America,45236884.0,2020-02-29,2,29,0,0,0.0,0,0,0,0
9965,Chile,South America,19132514.0,2020-02-29,2,29,2,0,0.0,0,2,0,0
10013,Ecuador,South America,17668824.0,2020-02-29,2,29,0,0,0.0,0,0,0,0
10074,Mexico,North America,129066160.0,2020-02-29,2,29,4,0,0.0,0,4,3,0
10117,Spain,Europe,46756648.0,2020-02-29,2,29,45,0,0.0,2,43,13,0
10185,Argentina,South America,45236884.0,2020-03-01,3,1,0,0,0.0,0,0,0,0
10226,Chile,South America,19132514.0,2020-03-01,3,1,9,0,0.0,0,9,7,0
10274,Ecuador,South America,17668824.0,2020-03-01,3,1,6,0,0.0,0,6,6,0
10335,Mexico,North America,129066160.0,2020-03-01,3,1,5,0,0.0,0,5,1,0
10378,Spain,Europe,46756648.0,2020-03-01,3,1,84,0,0.0,2,82,39,0
10446,Argentina,South America,45236884.0,2020-03-02,3,2,0,0,0.0,0,0,0,0
10487,Chile,South America,19132514.0,2020-03-02,3,2,9,0,0.0,0,9,0,0
10535,Ecuador,South America,17668824.0,2020-03-02,3,2,6,0,0.0,0,6,0,0
10596,Mexico,North America,129066160.0,2020-03-02,3,2,5,0,0.0,0,5,0,0
10639,Spain,Europe,46756648.0,2020-03-02,3,2,120,0,0.0,2,118,36,0
10707,Argentina,South America,45236884.0,2020-03-03,3,3,1,0,0.0,0,1,1,0
10748,Chile,South America,19132514.0,2020-03-03,3,3,10,0,0.0,0,10,1,0
10796,Ecuador,South America,17668824.0,2020-03-03,3,3,7,0,0.0,0,7,1,0
10857,Mexico,North America,129066160.0,2020-03-03,3,3,5,0,0.0,1,4,0,0
10900,Spain,Europe,46756648.0,2020-03-03,3,3,165,1,0.002138733298417799,2,162,45,1
10968,Argentina,South America,45236884.0,2020-03-04,3,4,1,0,0.0,0,1,0,0
11009,Chile,South America,19132514.0,2020-03-04,3,4,10,0,0.0,0,10,0,0
11057,Ecuador,South America,17668824.0,2020-03-04,3,4,10,0,0.0,0,10,3,0
11118,Mexico,North America,129066160.0,2020-03-04,3,4,5,0,0.0,1,4,0,0
11161,Spain,Europe,46756648.0,2020-03-04,3,4,222,2,0.004277466596835598,2,218,57,1
11229,Argentina,South America,45236884.0,2020-03-05,3,5,1,0,0.0,0,1,0,0
11270,Chile,South America,19132514.0,2020-03-05,3,5,13,0,0.0,0,13,3,0
11318,Ecuador,South America,17668824.0,2020-03-05,3,5,13,0,0.0,0,13,3,0
11379,Mexico,North America,129066160.0,2020-03-05,3,5,5,0,0.0,1,4,0,0
11422,Spain,Europe,46756648.0,2020-03-05,3,5,259,3,0.006416199895253398,2,254,37,1
11490,Argentina,South America,45236884.0,2020-03-06,3,6,2,0,0.0,0,2,1,0
11531,Chile,South America,19132514.0,2020-03-06,3,6,13,0,0.0,0,13,0,0
11579,Ecuador,South America,17668824.0,2020-03-06,3,6,13,0,0.0,0,13,0,0
11640,Mexico,North America,129066160.0,2020-03-06,3,6,6,0,0.0,1,5,1,0
11683,Spain,Europe,46756648.0,2020-03-06,3,6,400,5,0.010693666492088997,2,393,141,2
11751,Argentina,South America,45236884.0,2020-03-07,3,7,8,0,0.0,0,8,6,0
11792,Chile,South America,19132514.0,2020-03-07,3,7,13,0,0.0,0,13,0,0
11840,Ecuador,South America,17668824.0,2020-03-07,3,7,13,0,0.0,0,13,0,0
11901,Mexico,North America,129066160.0,2020-03-07,3,7,6,0,0.0,1,5,0,0
11944,Spain,Europe,46756648.0,2020-03-07,3,7,500,10,0.021387332984177995,30,460,100,5
